experiment	commit	metric	status	description
rgb_text_pdit_100	02bc489	-	BLOCKED	5RGB+text+PDIT-transformer 100ep: validate_mainline_training() rejected transformer_variant=pdit
rgb5_shared_lastblock_pdittoken_obs2_a16_100	36e847a	0.000000	FAILED	pdittoken obs2 a16 100ep, success@20=0.0 below 0.45 gate
pcd_mdit_ablation	aead391fbfb502c93396410a27286df424d1ae61		trained_pending_audit	ablation pcd_mdit: PCD+MDIT-transformer+MDIT-FM bs32 100ep
rgb_text_pdit_ablation	cf29f8b555b5042d71a1b82cabe17aeb61a5bccc		trained_pending_audit	ablation rgb_text_pdit: 5RGB+text+PDIT-backbone+PDIT-FM bs128 100ep
rgb_text_pdit_ablation	cf29f8b555b5042d71a1b82cabe17aeb61a5bccc	0.050000	keep	ablation rgb_text_pdit: 5RGB+text+PDIT-backbone+PDIT-FM bs128 100ep
ablation_anchor_pcd_pdit_orig_bs224_noamp_eval50_100	cf29f8b555b5042d71a1b82cabe17aeb61a5bccc	-1.000000	train_error	strict fair anchor A: original pdit line, pcd+pdit, bs224, no-amp, eval@50/100: CUDA out of memory. Tried to allocate 5.25 GiB. GPU 0 has a total capacity of 23.40 GiB of which 3.26 GiB is free. Including non-PyTorch memory, this process has 19.86 GiB memory in use. Of the allocated memory 13.21 GiB is allocated by PyTorch, and 6.05 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
ablation_anchor_pcd_pdit_orig_bs64_noamp_eval50_100	cf29f8b555b5042d71a1b82cabe17aeb61a5bccc	-1.000000	audit_error	strict fair anchor A: original pdit line, pcd+pdit, bs64, no-amp, eval@50/100: Command '['/home/gjw/.conda/envs/mdit_env/bin/python', '/home/gjw/MyProjects/autodl_unplug_charger_transformer_fm/scripts/eval_all_checkpoints.py', '--ckpt-epochs-dir', '/home/gjw/MyProjects/autodl_unplug_charger_transformer_fm/ckpt/ablation_anchor_pcd_pdit_orig_bs64_noamp/epochs', '--results-json', '/home/gjw/MyProjects/autodl_unplug_charger_transformer_fm/ckpt/ablation_anchor_pcd_pdit_orig_bs64_noamp/audit_raw_results.json', '--strategy', 'fm', '--episodes', '20', '--seed', '1234', '--max-steps', '200', '--heartbeat-every', '50', '--plot-path', '/home/gjw/MyProjects/autodl_unplug_charger_transformer_fm/ckpt/ablation_anchor_pcd_pdit_orig_bs64_noamp/audit_success_rate.png', '--include-special', '--headless', '--show-progress', '--prefer-ema', '--device', 'cuda']' returned non-zero exit status 2.
ablation_anchor_rgb5text_mdit_bs64_noamp_eval50_100	cf29f8b555b5042d71a1b82cabe17aeb61a5bccc		trained_pending_audit	strict fair anchor B: 5rgb+text+mdit(last_block), obs2/h100/a24, bs64, no-amp, eval@50/100
ablation_cross_rgb5text_pdit_adapter_bs128_noamp_eval50_100	17571e6aa72b204b82e8b049d8383c907eed0dc2		trained_pending_audit	strict fair cross D: 5rgb+text+pdit-adapter, obs2/h100/a24, bs128, no-amp, eval@50/100
ablation_rgb5text_pdit_adapter_bs128_noamp_fix_v2	2efceb1362f49297c37e1439f427c807e4061546	-1.000000	train_error	rgb+text+pdit-adapter bs128 noamp eval@50/100 with action-alignment fix and legacy-interface cleanup: 'obs_state'
